"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"76217","2225","2225","2225","","","","0","0","0"
"76315","2226","2226","2226","","","","0","0","0"
"76351","2227","2227","2227","","","","10","10","10"
"76507","2229","2229","2229","","","","10","10","10"
"76547","2214","2214","2214","0","0","0","","",""
"76751","2231","2231","2231","","","","0","0","0"
"76877","2234","2234","2234","10","10","10","","",""
"76996","2251","2251","2251","","","","10","10","10"
"77135","2252","2252","2252","","","","0","0","0"
"77259","2253","2253","2253","","","","10","10","10"
"77286","2238","2238","2238","10","10","10","","",""
"77370","2239","2239","2239","0","0","0","","",""
"77816","2244","2244","2244","10","10","10","","",""
"78181","2264","2264","2264","0","0","0","","",""
"78434","2284","2284","2284","","","","10","10","10"
"78954","2292","2292","2292","10","10","10","","",""
"79148","2294","2294","2294","0","0","0","","",""
"79269","2296","2296","2296","0","0","0","","",""
"79287","2309","2309","2309","","","","10","10","10"
"79327","2297","2297","2297","0","0","0","","",""
"79701","2315","2315","2315","","","","10","10","10"
"79831","2317","2317","2317","","","","0","0","0"
"80183","2321","2321","2321","10","10","10","","",""
"80274","2337","2337","2337","","","","0","0","0"
"80361","2338","2338","2338","","","","10","10","10"
"80751","2342","2342","2342","","","","10","10","10"
"80803","2343","2343","2343","","","","10","10","10"
"81101","2366","2366","2366","","","","0","0","0"
"81259","2350","2350","2350","10","10","10","","",""
"81387","2352","2352","2352","10","10","10","","",""
"81414","2369","2369","2369","","","","10","10","10"
"81455","2353","2353","2353","10","10","10","","",""
"81509","2370","2370","2370","","","","0","0","0"
"81591","2355","2355","2355","10","10","10","","",""
"81977","2378","2378","2378","10","10","10","","",""
